bank,term,deposit_type,rate_text
GPBank,1 tháng,Online,"3,95"
GPBank,3 tháng,Online,"4,05"
GPBank,6 tháng,Online,"5,65"
GPBank,9 tháng,Online,"5,75"
GPBank,12 tháng,Online,"5,95"
GPBank,13 tháng,Online,"5,95"
GPBank,18 tháng,Online,"5,95"
GPBank,24 tháng,Online,"5,95"
GPBank,36 tháng,Online,"5,95"
Hong Leong,Không kỳ hạn,Online,-
Hong Leong,1 tháng,Online,"4,60"
Hong Leong,3 tháng,Online,"4,75"
Hong Leong,6 tháng,Online,"6,30"
Hong Leong,9 tháng,Online,"6,30"
Hong Leong,12 tháng,Online,"6,50"
Hong Leong,13 tháng,Online,"6,00"
Hong Leong,18 tháng,Online,-
Hong Leong,24 tháng,Online,-
Hong Leong,36 tháng,Online,-
Kiên Long,Không kỳ hạn,Online,-
Kiên Long,1 tháng,Online,"4,20"
Kiên Long,3 tháng,Online,"4,20"
Kiên Long,6 tháng,Online,"5,50"
Kiên Long,9 tháng,Online,"5,20"
Kiên Long,12 tháng,Online,"5,50"
Kiên Long,13 tháng,Online,"5,35"
Kiên Long,18 tháng,Online,"5,15"
Kiên Long,24 tháng,Online,"5,15"
Kiên Long,36 tháng,Online,"5,15"
MSB,Không kỳ hạn,Online,"0,00"
MSB,1 tháng,Online,"4,75"
MSB,3 tháng,Online,"4,75"
MSB,6 tháng,Online,"6,30"
MSB,9 tháng,Online,"6,30"
MSB,12 tháng,Online,"6,80"
MSB,13 tháng,Online,"6,60"
MSB,18 tháng,Online,"6,60"
MSB,24 tháng,Online,"6,60"
MSB,36 tháng,Online,"6,10"
MB,Không kỳ hạn,Online,-
MB,1 tháng,Online,"3,70"
MB,3 tháng,Online,"4,00"
MB,6 tháng,Online,"4,50"
MB,9 tháng,Online,"4,50"
MB,12 tháng,Online,"4,95"
MB,13 tháng,Online,"4,95"
MB,18 tháng,Online,"4,95"
MB,24 tháng,Online,"5,90"
MB,36 tháng,Online,"5,90"
