bank,deposit_type,term,term_months,interest_rate
VRB,Quầy,24 tháng,24,5.9
VRB,Quầy,36 tháng,36,5.9
VietCapitalBank,Online,Không kỳ hạn,0,
VietCapitalBank,Online,1 tháng,1,4.75
VietCapitalBank,Online,3 tháng,3,4.75
VietCapitalBank,Online,6 tháng,6,6.7
VietCapitalBank,Online,9 tháng,9,6.7
VietCapitalBank,Online,12 tháng,12,6.9
VietCapitalBank,Online,13 tháng,13,
VietCapitalBank,Online,18 tháng,18,6.7
VietCapitalBank,Online,24 tháng,24,6.7
VietCapitalBank,Online,36 tháng,36,
VietCapitalBank,Quầy,Không kỳ hạn,0,
VietCapitalBank,Quầy,1 tháng,1,4.75
VietCapitalBank,Quầy,3 tháng,3,4.75
VietCapitalBank,Quầy,6 tháng,6,6.45
VietCapitalBank,Quầy,9 tháng,9,6.45
VietCapitalBank,Quầy,12 tháng,12,6.65
VietCapitalBank,Quầy,13 tháng,13,
VietCapitalBank,Quầy,18 tháng,18,6.45
VietCapitalBank,Quầy,24 tháng,24,6.45
VietCapitalBank,Quầy,36 tháng,36,5.9
Vietcombank,Quầy,Không kỳ hạn,0,0.1
Vietcombank,Quầy,1 tháng,1,2.1
Vietcombank,Quầy,3 tháng,3,2.4
Vietcombank,Quầy,6 tháng,6,3.5
Vietcombank,Quầy,9 tháng,9,3.5
Vietcombank,Quầy,12 tháng,12,5.9
Vietcombank,Quầy,13 tháng,13,
Vietcombank,Quầy,18 tháng,18,
Vietcombank,Quầy,24 tháng,24,6.0
Vietcombank,Quầy,36 tháng,36,5.3
VietinBank,Quầy,Không kỳ hạn,0,0.1
VietinBank,Quầy,1 tháng,1,2.1
VietinBank,Quầy,3 tháng,3,2.4
VietinBank,Quầy,6 tháng,6,3.5
VietinBank,Quầy,9 tháng,9,3.5
VietinBank,Quầy,12 tháng,12,5.9
VietinBank,Quầy,13 tháng,13,
VietinBank,Quầy,18 tháng,18,5.9
VietinBank,Quầy,24 tháng,24,6.0
VietinBank,Quầy,36 tháng,36,6.0
oceanbank,Online,Không kỳ hạn,0,0.5
oceanbank,Online,1 tháng,1,4.1
oceanbank,Online,3 tháng,3,4.4
oceanbank,Online,6 tháng,6,5.4
oceanbank,Online,9 tháng,9,5.5
oceanbank,Online,12 tháng,12,5.8
oceanbank,Online,13 tháng,13,5.8
oceanbank,Online,18 tháng,18,6.1
oceanbank,Online,24 tháng,24,6.1
oceanbank,Online,36 tháng,36,6.1
oceanbank,Quầy,Không kỳ hạn,0,0.5
oceanbank,Quầy,1 tháng,1,4.0
oceanbank,Quầy,3 tháng,3,4.3
oceanbank,Quầy,6 tháng,6,5.3
oceanbank,Quầy,9 tháng,9,5.4
oceanbank,Quầy,12 tháng,12,5.7
oceanbank,Quầy,13 tháng,13,5.7
oceanbank,Quầy,18 tháng,18,6.1
oceanbank,Quầy,24 tháng,24,6.1
oceanbank,Quầy,36 tháng,36,6.1
